Day,Name,Start Time,End Time,Auditorium,Type
MONDAY,Архитектура и организация компьютерных систем,09:00,09:50,318/2,LECTURE
MONDAY,Операционные системы,10:00,10:50,124/2,LECTURE
MONDAY,Разработка мобильных приложений,11:10,12:00,206/2,LECTURE
TUESDAY,Операционные системы,09:00,09:50,201/2,PRACTICAL
TUESDAY,Разработка мобильных приложений,10:00,10:50,318/2,PRACTICAL
TUESDAY,Кураторский час,11:10,12:00,,OTHER
WEDNESDAY,Разработка мобильных приложений,08:00,08:50,400/1,PRACTICAL
WEDNESDAY,Компьютерные сети,09:00,09:50,318/2,LECTURE
WEDNESDAY,Операционные системы,10:00,10:50,204/2,PRACTICAL
WEDNESDAY,Безопасность базы данных,11:10,12:00,400/1,LECTURE
THURSDAY,Безопасность базы данных,08:00,08:50,318/2,PRACTICAL
THURSDAY,Архитектура и организация компьютерных систем,09:00,09:50,414/1,PRACTICAL
THURSDAY,Компьютерные сети,10:00,10:50,318/2,PRACTICAL
FRIDAY,Архитектура и организация компьютерных систем,08:00,08:50,318/2,LAB
FRIDAY,Компьютерные сети,09:00,09:50,318/2,LAB
FRIDAY,Безопасность базы данных,10:00,10:50,318/2,PRACTICAL
